# MATRIZ COM DIMENSÃO 2000
# Tempo Sequencial (em s)	#Thread Principal	#Tempo Concorrente (em s)	#nº Threads	#Ganho
	80.642155			1			84.815525		1		0.950795
	79.440313			1			84.737322		1		0.937489
	80.644480			1			84.234690		1		0.957378
	80.638381			1			84.683605		1		0.952231
	79.935934			1			84.772814		1		0.942943
	80.695472			1			47.194654		2		1.709843
	80.465559			1			46.787433		2		1.719811
	80.515556			1			47.409209		2		1.698310
	80.892150			1			47.294200		2		1.710403
	80.425375			1			45.364132		2		1.772885
	80.445940			1			25.767286		4		3.122018
	79.625988			1			25.252511		4		3.153191
	80.482277			1			25.728727		4		3.128110
	80.222821			1			25.733798		4		3.117411
	80.320066			1			25.735781		4		3.120949
