# MATRIZ COM DIMENSÃO 1000
# Tempo Sequencial (em s)	#Thread Principal	#Tempo Concorrente (em s)	#nº Threads	#Ganho
	12.852179			1			15.025679		1		0.855348
	9.170262			1			9.515158		1		0.963753
	8.925299			1			9.176126		1		0.972665
	9.154169			1			9.483944		1		0.965228
	9.257833			1			9.600310		1		0.964326
	9.156375			1			5.344537		2		1.713221
	12.842645			1			7.545107		2		1.702116
	9.319945			1			5.340889		2		1.745018
	9.220565			1			5.325122		2		1.731522
	9.387186			1			5.386652		2		1.742675
	9.323905			1			3.035821		4		3.071296
	9.287894			1			3.046447		4		3.048762
	9.252381			1			3.029967		4		3.053624
	9.437469			1			3.089035		4		3.055152
	9.254626			1			3.012638		4		3.071934
