# MATRIZ COM DIMENSÃO 500
# Tempo Sequencial (em s)	#Thread Principal	#Tempo Concorrente (em s)	#nº Threads	#Ganho
	1.322899			1			1.468214		1		0.901026
	1.311620			1			1.440662		1		0.910428
	1.339205			1			1.436752		1		0.932105
	1.290908			1			1.462699		1		0.882552
	1.317734			1			1.418772		1		0.928785
	1.285275			1			0.736922		2		1.744114
	1.334348			1			0.839372		2		1.589698
	1.369319			1			0.731159		2		1.872806
	1.215496			1			0.746455		2		1.628358
	1.210268			1			0.720318		2		1.680186
	1.204502			1			0.408765		4		2.946689
	1.266952			1			0.419967		4		3.016788
	1.215388			1			0.410308		4		2.962135
	1.208371			1			0.418479		4		2.887529
	1.200675			1			0.408955		4		2.935961
