# TABELA #

# MATRIZ COM DIMENSÃO 500
# T Sequencial (em s)	#Thread Principal	#T Concorrente (em s)	#nº Threads	#Ganho
1.322899			1			1.468214		1		0.901026
1.311620			1			1.440662		1		0.910428
1.339205			1			1.436752		1		0.932105
1.290908			1			1.462699		1		0.882552
1.317734			1			1.418772		1		0.928785
1.285275			1			0.736922		2		1.744114
1.334348			1			0.839372		2		1.589698
1.369319			1			0.731159		2		1.872806
1.215496			1			0.746455		2		1.628358
1.210268			1			0.720318		2		1.680186
1.204502			1			0.408765		4		2.946689
1.266952			1			0.419967		4		3.016788
1.215388			1			0.410308		4		2.962135
1.208371			1			0.418479		4		2.887529
1.200675			1			0.408955		4		2.935961
# MATRIZ COM DIMENSÃO 1000
# T Sequencial (em s)	#Thread Principal	#T Concorrente (em s)	#nº Threads	#Ganho
12.852179			1			15.025679		1		0.855348
9.170262			1			9.515158		1		0.963753
8.925299			1			9.176126		1		0.972665
9.154169			1			9.483944		1		0.965228
9.257833			1			9.600310		1		0.964326
9.156375			1			5.344537		2		1.713221
12.842645			1			7.545107		2		1.702116
9.319945			1			5.340889		2		1.745018
9.220565			1			5.325122		2		1.731522
9.387186			1			5.386652		2		1.742675
9.323905			1			3.035821		4		3.071296
9.287894			1			3.046447		4		3.048762
9.252381			1			3.029967		4		3.053624
9.437469			1			3.089035		4		3.055152
9.254626			1			3.012638		4		3.071934
# MATRIZ COM DIMENSÃO 2000
# T Sequencial (em s)	#Thread Principal	#T Concorrente (em s)	#nº Threads	#Ganho
80.642155			1			84.815525		1		0.950795
79.440313			1			84.737322		1		0.937489
80.644480			1			84.234690		1		0.957378
80.638381			1			84.683605		1		0.952231
79.935934			1			84.772814		1		0.942943
80.695472			1			47.194654		2		1.709843
80.465559			1			46.787433		2		1.719811
80.515556			1			47.409209		2		1.698310
80.892150			1			47.294200		2		1.710403
80.425375			1			45.364132		2		1.772885
80.445940			1			25.767286		4		3.122018
79.625988			1			25.252511		4		3.153191
80.482277			1			25.728727		4		3.128110
80.222821			1			25.733798		4		3.117411
80.320066			1			25.735781		4		3.120949
